,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
78,9434355.58588,43529781,hypercash,1552527182,57083978,84000000.0,HyperCash,-0.25,5.22,13.95,0.0003358,1.311377562,79,HC,43529781
79,459793.689225,350000000,qash,1552527183,56302209,,QASH,-0.44,4.81,39.7,4.119e-05,0.1608634543,80,QASH,1000000000
80,4040609.63593,1649000000,maximine-coin,1552527186,55615822,,Maximine Coin,0.99,3.34,66.81,8.64e-06,0.0337269994,81,MXM,16000000000
81,351758.908227,452552412,maidsafecoin,1552527180,54685669,,MaidSafeCoin,-0.37,2.06,-0.91,3.094e-05,0.120838311,82,MAID,452552412
82,2236457.9376,737500000,digitex-futures,1552527185,54030246,,Digitex Futures,-1.38,9.62,9.86,1.876e-05,0.0732613508,83,DGTX,1000000000
83,15018533.6343,60000000,gxchain,1552527182,53265134,100000000.0,GXChain,-9.5,-3.93,33.9,0.00022732,0.8877522307,84,GXC,99614906
84,1733597.55462,828954240,loopring,1552527182,52312293,,Loopring,0.54,-1.19,10.93,1.616e-05,0.0631063701,85,LRC,1374955752
85,4493062.85119,40999959,waltonchain,1552527182,52108313,100000000.0,Waltonchain,-0.71,0.35,12.9,0.00032544,1.2709357182,86,WTC,70000000
86,54382.986171,62463334,moac,1552527184,49912935,,MOAC,-0.0,-0.99,-1.81,0.00020461,0.7990757515,87,MOAC,151205864
87,10772245.9115,56781166,pivx,1552527181,49899326,,PIVX,-2.74,7.62,13.9,0.00022503,0.8788006598,88,PIVX,56781166
88,3307630.86118,166552689,insight-chain,1552527186,49313728,,Insight Chain,-0.93,7.3,17.2,7.582e-05,0.2960848486,89,INB,10000000000
89,2292984.51781,1050141509,decentraland,1552527182,49251760,,Decentraland,-1.03,-0.2,11.79,1.201e-05,0.0469001171,90,MANA,2644403343
90,8456064.31749,280000000,aelf,1552527184,48580995,1000000000.0,aelf,0.02,-0.81,14.5,4.443e-05,0.1735035538,91,ELF,300000000
91,80996.098482,2805342,qubitica,1552527187,48578271,,Qubitica,-0.21,0.81,19.67,0.00443408,17.3163482617,92,QBIT,10000000
92,5367630.38752,749434258,loom-network,1552527185,48567879,,Loom Network,-0.09,2.41,9.39,1.659e-05,0.0648060571,93,LOOM,1000000000
93,2972047.67093,15793831,crypto-com,1552527182,47052968,,Crypto.com,-0.03,1.57,12.69,0.00076286,2.9791991555,94,MCO,31587682
94,7732257.24389,106152493,wanchain,1552527185,46856077,,Wanchain,0.49,6.88,43.65,0.00011303,0.4414034557,95,WAN,210000000
95,9198356.53292,560000011,nexo,1552527185,46037640,,Nexo,0.26,2.67,-15.79,2.105e-05,0.0822100701,96,NEXO,1000000000
96,10121898.4741,6992913,zcoin,1552527182,45984004,21400000.0,Zcoin,-0.85,-10.02,13.73,0.00168382,6.5758006968,97,XZC,21400000
97,57801.1986854,86686,thorecoin,1552527186,43259831,,ThoreCoin,0.4,6.31,40.93,0.12778603,499.040451883,98,THR,100000
98,3160791.60051,291866662,aion,1552527183,42235009,,Aion,-0.22,-1.04,21.28,3.705e-05,0.1447065202,99,AION,291866662
99,2212777.08229,396829006,power-ledger,1552527183,41626550,,Power Ledger,-0.58,-5.39,11.41,2.686e-05,0.1048979523,100,POWR,1000000000
